,version_count,total_gross
418,6.0,47624353.0
419,7.0,47410827.0
420,20.0,47124828.0
421,21.0,47047013.0
422,12.0,46836214.0
423,4.0,46708276.0
424,6.0,46683377.0
425,12.0,46357676.0
426,21.0,46294610.0
427,8.0,46236000.0
428,8.0,46000903.0
430,6.0,45060734.0
431,5.0,44942695.0
432,16.0,44875481.0
433,4.0,44737059.0
434,5.0,44547681.0
435,1.0,44089964.0
436,8.0,44065653.0
437,14.0,44017374.0
438,8.0,43945766.0
439,5.0,43894863.0
440,1.0,43799818.0
443,10.0,43579163.0
444,9.0,43545364.0
445,2.0,43313890.0
446,2.0,43107979.0
447,2.0,43000262.0
448,3.0,42800000.0
449,12.0,42724017.0
450,10.0,42587643.0
451,5.0,42285169.0
452,14.0,42024533.0
454,1.0,41850659.0
455,4.0,41821986.0
457,5.0,41596251.0
458,1.0,41482207.0
459,9.0,41410568.0
460,10.0,41292551.0
461,2.0,41281092.0
462,8.0,40940662.0
463,17.0,40903593.0
464,12.0,40202379.0
465,1.0,40077257.0
466,19.0,39846344.0
467,11.0,39768000.0
468,6.0,39673161.0
470,7.0,39404261.0
471,1.0,39394666.0
472,7.0,39053061.0
473,5.0,39046489.0
474,12.0,38748395.0
475,3.0,38590458.0
476,11.0,38518613.0
477,12.0,38348988.0
478,3.0,38122883.0
479,2.0,38108728.0
480,1.0,38087756.0
481,5.0,38082712.0
482,13.0,37903295.0
483,4.0,37771017.0
484,8.0,37662162.0
485,3.0,37491364.0
486,1.0,37306030.0
487,4.0,37020277.0
488,3.0,36906460.0
489,2.0,36895141.0
490,7.0,36853222.0
491,7.0,36821203.0
492,17.0,36793804.0
493,1.0,36400360.0
494,9.0,36392502.0
495,6.0,36230219.0
496,1.0,36105433.0
497,2.0,35976000.0
498,9.0,35763137.0
499,1.0,35610100.0
500,4.0,35281794.0
501,4.0,35161554.0
502,19.0,34967437.0
503,6.0,34712347.0
504,11.0,34700291.0
505,6.0,34673095.0
506,13.0,34670720.0
507,4.0,34562556.0
508,4.0,34432201.0
509,5.0,34297191.0
510,16.0,34296320.0
511,5.0,34134641.0
512,5.0,33864342.0
513,10.0,33715436.0
514,5.0,33691313.0
515,2.0,33519628.0
516,5.0,33357476.0
517,3.0,33316821.0
518,7.0,33047633.0
519,14.0,33035397.0
520,5.0,32746941.0
521,3.0,32720065.0
522,2.0,32682342.0
523,3.0,32632093.0
524,5.0,32598931.0
525,4.0,32222567.0
526,2.0,32130627.0
527,13.0,32051917.0
528,1.0,31945749.0
529,13.0,31906454.0
531,2.0,31800000.0
532,1.0,31664162.0
533,13.0,31181347.0
534,8.0,31130999.0
535,8.0,30950002.0
536,8.0,30932113.0
539,5.0,30336800.0
540,15.0,30303072.0
541,5.0,30208599.0
542,3.0,30113491.0
543,9.0,30077111.0
544,9.0,30038362.0
545,16.0,29807260.0
546,6.0,29712172.0
547,5.0,29450919.0
548,5.0,28598376.0
549,5.0,28590665.0
550,5.0,28445927.0
551,2.0,28142535.0
553,10.0,28061343.0
554,3.0,28000000.0
555,5.0,27807266.0
556,7.0,27580111.0
557,7.0,27441977.0
558,22.0,27108272.0
559,4.0,26890041.0
560,6.0,26869286.0
561,12.0,26589355.0
562,6.0,26414658.0
563,10.0,26285544.0
564,4.0,26235081.0
565,5.0,26186631.0
566,16.0,25942324.0
567,4.0,25893810.0
568,6.0,25804707.0
569,17.0,25697647.0
570,4.0,25682090.0
572,5.0,423315812.0
573,15.0,415004880.0
576,8.0,339714978.0
577,11.0,333176600.0
578,17.0,312855561.0
579,5.0,309420425.0
580,5.0,305413918.0
581,5.0,293506292.0
582,12.0,293004164.0
583,5.0,291710957.0
587,8.0,255873250.0
588,6.0,245852179.0
589,8.0,244082982.0
594,4.0,227966634.0
595,4.0,223808164.0
596,16.0,222366600.0
597,3.0,219964115.0
598,5.0,217350219.0
599,6.0,206445654.0
600,5.0,206362140.0
601,6.0,201578182.0
602,7.0,200821936.0
603,7.0,198542554.0
604,11.0,191796233.0
605,10.0,191452396.0
607,8.0,182207973.0
608,8.0,178406268.0
609,6.0,173008894.0
610,8.0,172062763.0
611,6.0,171091819.0
612,12.0,169708112.0
613,6.0,168273550.0
615,9.0,163958031.0
616,6.0,162798565.0
617,6.0,161491646.0
618,16.0,156452370.0
619,6.0,145863363.0
621,8.0,144833357.0
622,6.0,141621490.0
623,6.0,141579773.0
624,6.0,139605150.0
625,7.0,139236327.0
626,5.0,137748063.0
627,9.0,136492681.0
628,14.0,136189294.0
629,6.0,135386665.0
630,12.0,134069511.0
631,3.0,132716677.0
632,19.0,130724172.0
633,5.0,127807262.0
634,3.0,127223418.0
635,14.0,123922370.0
636,4.0,120620254.0
