,log_gross,votecount_clean
553,17.14990349321813,27749.0
555,17.14080791141696,41697.0
557,17.127584406331575,21435.0
558,17.11534947912612,252372.0
559,17.107266552974266,24553.0
560,17.106494407853063,1561.0
563,17.084529688236092,8609.0
564,17.08260804257674,31505.0
565,17.080759571325153,3125.0
566,17.071386324204195,6159.0
567,17.06951450196664,37405.0
568,17.06606747511182,21969.0
569,17.06190998925367,51313.0
573,19.84380083716198,436614.0
574,19.829259928580676,452702.0
576,19.64361752400454,551995.0
580,19.53717852272938,680994.0
581,19.49740963482206,603107.0
582,19.495697378484454,526190.0
583,19.491273996696773,249367.0
584,19.408334521829374,187680.0
585,19.381719546493773,399596.0
586,19.375293985716,338872.0
587,19.360192762645347,466367.0
589,19.313018815603858,209226.0
591,19.300605380691483,309675.0
592,19.28476495194024,218169.0
593,19.27472078893255,161103.0
594,19.244709834104402,246485.0
597,19.208974977375796,160736.0
599,19.145547758972835,395321.0
600,19.145143144513742,317478.0
601,19.121687864098476,286100.0
602,19.117929182843152,234422.0
603,19.106514012949628,223764.0
604,19.07194407997048,499702.0
605,19.070149750826243,83947.0
609,18.968853561545206,227701.0
610,18.96336986938028,237320.0
611,18.957710923575515,113657.0
612,18.94959053106551,269591.0
615,18.91512104450171,190532.0
617,18.89996397173489,105367.0
618,18.868262176574206,120785.0
620,18.79770754276557,94485.0
621,18.791094377407813,55825.0
622,18.768668493245393,128634.0
624,18.754328638729564,55647.0
625,18.751683241645477,29877.0
626,18.74093694419244,33369.0
627,18.731781552104117,90192.0
628,18.729556343597494,63066.0
629,18.723645427624884,54234.0
630,18.71386896222269,236160.0
631,18.703727165859718,28005.0
632,18.68860010411135,89942.0
634,18.66145529569886,75520.0
636,18.608157771771666,136987.0
638,18.56612002664531,143030.0
639,18.553440138663166,173372.0
640,18.552178887175558,125686.0
641,18.543666824707614,56174.0
642,18.529982008648997,170239.0
643,18.518082661819204,84344.0
644,18.516917539769985,65089.0
645,18.499944280458564,77381.0
646,18.471974979839473,50400.0
647,18.466001869387338,58838.0
649,18.457386046110365,43861.0
650,18.437032039897513,16.0
651,18.43179448688808,201149.0
652,18.42206829086376,83003.0
655,18.398661806654598,57110.0
656,18.394368718821035,32758.0
658,18.371180378149447,43308.0
659,18.369506800336964,222154.0
660,18.36426278296835,16562.0
661,18.347865139408675,53983.0
662,18.3306159281414,72914.0
663,18.32372564801498,194179.0
664,18.32249666044002,38171.0
665,18.321516723635103,38293.0
666,18.318523005036273,30072.0
667,18.312062694956023,114194.0
668,18.307800693993475,50058.0
670,18.307535729776788,157534.0
671,18.299994915516653,69646.0
672,18.293264137856436,26429.0
673,18.26365853857238,225636.0
675,18.257213141076853,34312.0
676,18.252263536113343,18142.0
677,18.250554872543052,138956.0
681,18.225546761456503,96805.0
682,18.21749379092333,43176.0
683,18.212087816985864,17873.0
684,18.210663366249,63286.0
686,18.192225472899533,28542.0
687,18.17507112227444,52550.0
688,18.15403069963651,23821.0
689,18.14423221828387,27895.0
690,18.13809981186583,29837.0
691,18.126869352209305,46136.0
692,18.12415022588218,55826.0
694,18.107039290230794,190418.0
695,18.086953043643476,19902.0
697,18.07931536541433,41170.0
698,18.061450165731916,48781.0
700,18.047531744869623,62581.0
701,18.026253093382742,49961.0
702,18.02472205630254,63881.0
703,18.022775894928223,37817.0
704,18.01956156858327,23192.0
707,18.009828923525095,71484.0
708,18.00552608338539,32177.0
709,18.000201987958853,17267.0
710,17.998152205021558,53517.0
711,17.994933144731796,76795.0
713,17.980283962395916,32732.0
714,17.97499683436644,217216.0
715,17.973562280214047,54428.0
716,17.969818017228903,45391.0
717,17.957857418515452,50069.0
718,17.94480752230305,11787.0
719,17.924471232501137,55904.0
721,17.922874482615182,82218.0
722,17.917771568921328,70441.0
723,17.908648025273695,16357.0
724,17.90507630314087,18790.0
725,17.895854010495476,9135.0
726,17.887310420844543,28914.0
727,17.886603091539836,42339.0
728,17.88164859687007,49457.0
729,17.879805811499544,76191.0
730,17.876260124965736,59396.0
731,17.87261960322654,44590.0
732,17.86414322079472,31602.0
735,17.857464768110685,85304.0
737,17.849840838116403,84986.0
738,17.824668205126176,173875.0
739,17.823057029540504,70024.0
741,17.808819719202255,94587.0
742,17.802619607078203,37705.0
743,17.79105384755263,27953.0
744,17.789722701890604,45106.0
745,17.7874970914404,691852.0
746,17.783247152865034,5133.0
747,17.78206227815819,103445.0
749,17.772391855492838,51473.0
750,17.764487170139404,121937.0
751,17.763959509435136,33609.0
753,17.750920211387015,19644.0
754,17.74907399355962,
756,17.74471776560373,213561.0
757,17.74246822408702,38833.0
758,17.740095076200166,21000.0
759,17.732259000905465,19303.0
761,17.728142597893253,11604.0
764,17.71732281063241,28639.0
765,17.695635341641704,11480.0
766,17.6902294571741,55700.0
768,17.684659088975636,9833.0
769,17.679245496151225,81278.0
770,17.65934157111608,40459.0
771,17.658537163327814,10928.0
773,17.635646866776458,12245.0
774,17.635646537904222,24372.0
775,17.634420693733023,12070.0
777,17.633240400251285,16123.0
779,17.610551084704777,33307.0
780,17.605983817582043,55049.0
781,17.594244541393763,14181.0
782,17.59081361844786,31942.0
783,17.59005464094289,112519.0
784,17.582043035961266,11434.0
785,17.578151077638225,98256.0
787,17.57051606148818,23152.0
788,17.5684780176864,30865.0
789,17.568255423916035,2524.0
790,17.562664179622317,41265.0
793,17.521578367297902,27115.0
794,17.518955567468524,7807.0
796,17.508145127797803,8024.0
798,17.49935714341491,76307.0
799,17.49218364153018,51898.0
802,17.468186813644653,141567.0
804,17.457774339487383,190402.0
805,17.45773811393768,58282.0
807,17.43949174624027,28346.0
808,17.43675459383457,17154.0
809,17.427721688096234,42474.0
811,17.42236891743711,9946.0
812,17.419210837398534,34422.0
814,17.411661240071986,25916.0
818,17.380769260693206,30222.0
819,17.373187163432515,66945.0
820,17.364931373701744,14576.0
821,17.36206235983263,77910.0
822,17.35265027775144,24542.0
823,17.35145416487623,14186.0
824,17.344960628543813,25194.0
827,17.312018119430753,86249.0
829,17.30510006294697,9182.0
830,17.302851965575872,94999.0
831,17.30229319741353,44828.0
832,17.281608145348244,6.0
833,17.28125586696976,19501.0
835,17.261909577492233,6535.0
839,17.24504126636041,22440.0
840,17.24322633162123,9081.0
841,17.238603342858887,47903.0
842,17.23579034030141,12541.0
843,17.222032439286068,37395.0
846,17.21107822246474,5196.0
847,17.20328491929429,5750.0
849,17.196247307892804,3461.0
850,17.194157853519464,21260.0
851,17.193101145654932,8668.0
853,17.185902005372274,121828.0
854,17.18281676720723,14706.0
856,17.18186677423822,4405.0
857,17.180946970650197,43687.0
858,17.178703707593204,8912.0
859,17.17373418729045,4440.0
860,17.15490732034596,7099.0
861,17.15072328890289,68093.0
864,17.145264245898066,22553.0
865,17.14082089355108,9674.0
867,17.12171963134924,30267.0
